Date,Time,value
01-Jan-16,08:00:00,1.44
01-Jan-16,16:00:00,1.43
02-Jan-16,08:00:00,1.42
02-Jan-16,16:00:00,1.4
03-Jan-16,08:00:00,1.39
03-Jan-16,16:00:00,1.38
04-Jan-16,08:00:00,1.38
04-Jan-16,16:00:00,1.38
05-Jan-16,08:00:00,1.37
05-Jan-16,16:00:00,1.37
06-Jan-16,08:00:00,1.37
06-Jan-16,16:00:00,1.36
07-Jan-16,08:00:00,1.36
07-Jan-16,16:00:00,1.36
08-Jan-16,08:00:00,1.36
08-Jan-16,16:00:00,1.36
09-Jan-16,08:00:00,1.35
09-Jan-16,16:00:00,1.35
10-Jan-16,08:00:00,1.35
10-Jan-16,16:00:00,1.35
11-Jan-16,08:00:00,1.35
11-Jan-16,16:00:00,1.34
12-Jan-16,08:00:00,1.34
12-Jan-16,16:00:00,1.35
13-Jan-16,08:00:00,1.35
13-Jan-16,16:00:00,1.35
14-Jan-16,08:00:00,1.35
14-Jan-16,16:00:00,1.35
15-Jan-16,08:00:00,1.36
15-Jan-16,16:00:00,1.39
16-Jan-16,08:00:00,1.42
16-Jan-16,16:00:00,1.44
17-Jan-16,08:00:00,1.46
17-Jan-16,16:00:00,1.46
18-Jan-16,08:00:00,1.47
18-Jan-16,16:00:00,1.47
19-Jan-16,08:00:00,1.47
19-Jan-16,16:00:00,1.48
20-Jan-16,08:00:00,1.48
20-Jan-16,16:00:00,1.49
21-Jan-16,08:00:00,1.49
21-Jan-16,16:00:00,1.5
22-Jan-16,08:00:00,1.5
22-Jan-16,16:00:00,1.5
23-Jan-16,08:00:00,1.49
23-Jan-16,16:00:00,1.49
24-Jan-16,08:00:00,1.49
24-Jan-16,16:00:00,1.48
25-Jan-16,08:00:00,1.47
25-Jan-16,16:00:00,1.47
26-Jan-16,08:00:00,1.47
26-Jan-16,16:00:00,1.46
27-Jan-16,08:00:00,1.46
27-Jan-16,16:00:00,1.45
28-Jan-16,08:00:00,1.44
28-Jan-16,16:00:00,1.43
29-Jan-16,08:00:00,1.42
29-Jan-16,16:00:00,1.41
30-Jan-16,08:00:00,1.39
30-Jan-16,16:00:00,1.38
31-Jan-16,08:00:00,1.37
31-Jan-16,16:00:00,1.36
01-Feb-16,08:00:00,1.36
01-Feb-16,16:00:00,1.36
02-Feb-16,08:00:00,1.36
02-Feb-16,16:00:00,1.35
03-Feb-16,08:00:00,1.35
03-Feb-16,16:00:00,1.35
04-Feb-16,08:00:00,1.35
04-Feb-16,16:00:00,1.34
05-Feb-16,08:00:00,1.34
05-Feb-16,16:00:00,1.34
06-Feb-16,08:00:00,1.34
06-Feb-16,16:00:00,1.33
07-Feb-16,08:00:00,1.33
07-Feb-16,16:00:00,1.33
08-Feb-16,08:00:00,1.33
08-Feb-16,16:00:00,1.33
09-Feb-16,08:00:00,1.32
09-Feb-16,16:00:00,1.32
10-Feb-16,08:00:00,1.32
10-Feb-16,16:00:00,1.32
11-Feb-16,08:00:00,1.32
11-Feb-16,16:00:00,1.32
12-Feb-16,08:00:00,1.31
12-Feb-16,16:00:00,1.31
13-Feb-16,08:00:00,1.31
13-Feb-16,16:00:00,1.31
14-Feb-16,08:00:00,1.31
14-Feb-16,16:00:00,1.31
15-Feb-16,08:00:00,1.31
15-Feb-16,16:00:00,1.32
16-Feb-16,08:00:00,1.32
16-Feb-16,16:00:00,1.31
17-Feb-16,08:00:00,1.3
17-Feb-16,16:00:00,1.3
18-Feb-16,08:00:00,1.3
18-Feb-16,16:00:00,1.3
19-Feb-16,08:00:00,1.3
19-Feb-16,16:00:00,1.3
20-Feb-16,08:00:00,1.3
20-Feb-16,16:00:00,1.3
21-Feb-16,08:00:00,1.29
21-Feb-16,16:00:00,1.29
22-Feb-16,08:00:00,1.29
22-Feb-16,16:00:00,1.29
23-Feb-16,08:00:00,1.29
23-Feb-16,16:00:00,1.29
24-Feb-16,08:00:00,1.29
24-Feb-16,16:00:00,1.29
25-Feb-16,08:00:00,1.29
25-Feb-16,16:00:00,1.29
26-Feb-16,08:00:00,1.29
26-Feb-16,16:00:00,1.28
27-Feb-16,08:00:00,1.28
27-Feb-16,16:00:00,1.28
28-Feb-16,08:00:00,1.28
28-Feb-16,16:00:00,1.28
29-Feb-16,08:00:00,1.28
29-Feb-16,16:00:00,1.28
01-Mar-16,08:00:00,1.28
01-Mar-16,16:00:00,1.28
02-Mar-16,08:00:00,1.28
02-Mar-16,16:00:00,1.28
03-Mar-16,08:00:00,1.29
03-Mar-16,16:00:00,1.29
04-Mar-16,08:00:00,1.29
04-Mar-16,16:00:00,1.3
05-Mar-16,08:00:00,1.31
05-Mar-16,16:00:00,1.32
06-Mar-16,08:00:00,1.31
06-Mar-16,16:00:00,1.31
07-Mar-16,08:00:00,1.31
07-Mar-16,16:00:00,1.3
08-Mar-16,08:00:00,1.3
08-Mar-16,16:00:00,1.3
09-Mar-16,08:00:00,1.3
09-Mar-16,16:00:00,1.31
10-Mar-16,08:00:00,1.31
10-Mar-16,16:00:00,1.32
11-Mar-16,08:00:00,1.31
11-Mar-16,16:00:00,1.31
12-Mar-16,08:00:00,1.31
12-Mar-16,16:00:00,1.31
13-Mar-16,08:00:00,1.32
13-Mar-16,16:00:00,1.32
14-Mar-16,08:00:00,1.32
14-Mar-16,16:00:00,1.31
15-Mar-16,08:00:00,1.31
15-Mar-16,16:00:00,1.31
16-Mar-16,08:00:00,1.31
16-Mar-16,16:00:00,1.3
17-Mar-16,08:00:00,1.3
17-Mar-16,16:00:00,1.3
18-Mar-16,08:00:00,1.3
18-Mar-16,16:00:00,1.29
19-Mar-16,08:00:00,1.29
19-Mar-16,16:00:00,1.29
20-Mar-16,08:00:00,1.29
20-Mar-16,16:00:00,1.29
21-Mar-16,08:00:00,1.3
21-Mar-16,16:00:00,1.3
22-Mar-16,08:00:00,1.3
22-Mar-16,16:00:00,1.3
23-Mar-16,08:00:00,1.3
23-Mar-16,16:00:00,1.31
24-Mar-16,08:00:00,1.31
24-Mar-16,16:00:00,1.31
25-Mar-16,08:00:00,1.31
25-Mar-16,16:00:00,1.3
26-Mar-16,08:00:00,1.3
26-Mar-16,16:00:00,1.3
27-Mar-16,08:00:00,1.29
27-Mar-16,16:00:00,1.29
28-Mar-16,08:00:00,1.29
28-Mar-16,16:00:00,1.28
29-Mar-16,08:00:00,1.28
29-Mar-16,16:00:00,1.28
30-Mar-16,08:00:00,1.28
30-Mar-16,16:00:00,1.27
31-Mar-16,08:00:00,1.27
31-Mar-16,16:00:00,1.27
01-Apr-16,08:00:00,1.3
01-Apr-16,16:00:00,1.33
02-Apr-16,08:00:00,1.34
02-Apr-16,16:00:00,1.34
03-Apr-16,08:00:00,1.35
03-Apr-16,16:00:00,1.36
04-Apr-16,08:00:00,1.36
04-Apr-16,16:00:00,1.37
05-Apr-16,08:00:00,1.37
05-Apr-16,16:00:00,1.37
06-Apr-16,08:00:00,1.37
06-Apr-16,16:00:00,1.37
07-Apr-16,08:00:00,1.36
